Pop,site_code,lat,lon
22A,Site_100A,-37.3446,142.3376
22C,Site_100C,-37.318033,142.366733
23A,Site_101A,-37.188,142.501
23B,Site_101B,-37.187,142.498
23C,Site_101C,-37.18697,142.49339
23E,Site_101E,-37.18117,142.48546
24A,Site_103A,-37.29381944,142.6279861
24B,Site_103B,-37.273,142.614
25,Site_104,-37.59176946,142.3626814
26A,Site_105A,-37.59763,142.35333
26B,Site_105B,-37.591,142.357
27A,Site_106A,-37.60529723,142.3202889
27B,Site_106B,-37.622,142.329
28A,Site_107A,-37.296,142.337
28B,Site_107B,-37.3122,142.329283
28C,Site_107C,-37.281,142.336
28D,Site_107D,-37.275483,142.34205
3,Site_12,-37.4080223,142.4483159
4,Site_15,-37.52143264,142.4158541
5A,Site_24A,-37.11783134,142.423162
5C,Site_24C,-37.136,142.434
6A,Site_27A,-37.24990575,142.6075807
6C,Site_27C,-37.224,142.585
7A,Site_38A,-37.04188501,142.479812
7B,Site_38B,-37.03639797,142.471658
1,Site_4,-37.22621413,142.5510958
8A,Site_40A,-37.11109104,142.524637
8B,Site_40B,-37.105,142.524
9,Site_42,-37.05592202,142.512867
10,Site_45,-36.915875,142.427031
11A,Site_49A,-36.93200497,142.404669
11B,Site_49B,-36.938,142.408
11C,Site_49C,-36.944191,142.410881
12,Site_52,-37.01347799,142.41104
13A,Site_64A,-37.28527403,142.261844
13B,Site_64B,-37.298,142.257
14A,Site_69A,-37.35804303,142.207038
14B,Site_69B,-37.368,142.199
15A,Site_76A,-37.48436501,142.26889
2,Site_8,-37.45499063,142.5023407
16,Site_84,-37.285733,142.425857
17A,Site_87A,-37.12597101,142.500529
18A,Site_93A,-37.308,142.487
18B,Site_93B,-37.3063702,142.4851193
19,Site_95,-37.501919,142.364444
20,Site_97,-37.17672,142.31798
21A,Site_98A,-37.13701,142.26645
21B,Site_98B,-37.159,142.278
21C,Site_98C,-37.162,142.279
29,Site_AOS03B,-37.37275201,142.513102
30A,Site_MountWA,-37.29274,142.6011
30B,Site_MountWB,-37.292,142.597
30D,Site_MountWD,-37.290883,142.592967
30E,Site_MountWE,-37.287,142.594
30F,Site_MountWF,-37.283,142.587
