,Population
BM_100A_5,Site_100A
BM_100A_1,Site_100A
BM_100A_2,Site_100A
BM_100A_3,Site_100A
BM_100A_4,Site_100A
BM_101C_2,Site_101C
BM_101C_3,Site_101C
BM_101C_5,Site_101C
BM_101C_6,Site_101C
BM_103A_1,Site_103A
BM_103A_2,Site_103A
BM_103A_3,Site_103A
BM_103A_4,Site_103A
BM_103A_5,Site_103A
BM_104_4,Site_104
BM_104_5,Site_104
BM_104_1,Site_104
BM_105A_6,Site_105A
BM_105A_2,Site_105A
BM_105A_3,Site_105A
BM_105A_4,Site_105A
BM_105A_5,Site_105A
BM_106A_1,Site_106A
BM_106A_2,Site_106A
BM_106A_3,Site_106A
BM_106A_5,Site_106A
BM_106A_6,Site_106A
BM_107D_1,Site_107D
BM_107D_2,Site_107D
BM_107D_4,Site_107D
BM_107D_5,Site_107D
BM_107D_3B,Site_107D
BM_12_4,Site_12
BM_12_5,Site_12
BM_12_1,Site_12
BM_12_3,Site_12
BM_15_6,Site_15
BM_15_2,Site_15
BM_15_4,Site_15
BM_15_5,Site_15
BM_24A_2,Site_24A
BM_24A_3,Site_24A
BM_24A_6,Site_24A
BM_27A_1,Site_27A
BM_27A_2,Site_27A
BM_27A_3,Site_27A
BM_27A_4,Site_27A
BM_27A_5,Site_27A
BM_27A_6,Site_27A
BM_38B_3A,Site_38B
BM_38B_4,Site_38B
BM_38B_5,Site_38B
BM_38B_6,Site_38B
BM_38B_1,Site_38B
BM_38B_2,Site_38B
BM_4_1,Site_4
BM_4_3,Site_4
BM_4_5,Site_4
BM_4_6,Site_4
BM_40A_5,Site_40A
BM_40A_1,Site_40A
BM_40A_2,Site_40A
BM_40A_3,Site_40A
BM_40A_4,Site_40A
BM_42_1,Site_42
BM_42_2,Site_42
BM_42_3,Site_42
BM_42_4,Site_42
BM_42_5,Site_42
BM_42_6,Site_42
BM_45_1A,Site_45
BM_45_2,Site_45
BM_45_3,Site_45
BM_45_4,Site_45
BM_45_5,Site_45
BM_45_6,Site_45
BM_49C_2,Site_49C
BM_49C_3,Site_49C
BM_49C_4,Site_49C
BM_49C_5,Site_49C
BM_49C_6,Site_49C
BM_49C_1,Site_49C
BM_52_4,Site_52
BM_52_5,Site_52
BM_52_6,Site_52
BM_52_1,Site_52
BM_52_2,Site_52
BM_52_3,Site_52
BM_64A_6,Site_64A
BM_64A_1,Site_64A
BM_64A_2,Site_64A
BM_64A_4,Site_64A
BM_64A_5,Site_64A
BM_69A_1,Site_69A
BM_69A_4,Site_69A
BM_69A_6,Site_69A
BM_76A_2,Site_76A
BM_76A_3,Site_76A
BM_76A_4,Site_76A
BM_76A_5,Site_76A
BM_76A_6B,Site_76A
BM_76A_1,Site_76A
BM_8_5,Site_8
BM_8_6,Site_8
BM_8_1,Site_8
BM_8_2,Site_8
BM_8_4B,Site_8
BM_84_2,Site_84
BM_84_4,Site_84
BM_84_5,Site_84
BM_84_6,Site_84
BM_84_1B,Site_84
BM_87A_4,Site_87A
BM_87A_5,Site_87A
BM_87A_6,Site_87A
BM_87A_2,Site_87A
BM_87A_3,Site_87A
BM_93B_6,Site_93B
BM_93B_2,Site_93B
BM_93B_3,Site_93B
BM_93B_4,Site_93B
BM_93B_5,Site_93B
BM_95_1,Site_95
BM_95_2,Site_95
BM_95_3,Site_95
BM_95_6,Site_95
BM_97_3,Site_97
BM_97_4,Site_97
BM_97_6,Site_97
BM_97_1,Site_97
BM_98A_4A,Site_98A
BM_98A_6,Site_98A
BM_98A_2,Site_98A
BM_98A_3,Site_98A
BM_AOS03B_1,Site_AOS03B
BM_AOS03B_2,Site_AOS03B
BM_AOS03B_3,Site_AOS03B
BM_AOS03B_4,Site_AOS03B
BM_AOS03B_5,Site_AOS03B
BM_AOS03B_6,Site_AOS03B
BM_MountWA_2,Site_MountWA
BM_MountWA_3,Site_MountWA
BM_MountWA_4,Site_MountWA
BM_MountWA_6,Site_MountWA
BM_MountWA_1,Site_MountWA
